10877	CFHR4	complement factor H-related 4										
134829	CLVS2	clavesin 2										
157807	CLVS1	clavesin 1										
266629	SEC14L3	SEC14-like 3 (S. cerevisiae)										
2169	FABP2	fatty acid binding protein 2, intestinal										
646486	FABP12	fatty acid binding protein 12										
3042	HBM	hemoglobin, mu										
389158	PLSCR5	phospholipid scramblase family, member 5										
653437	AQP12B	aquaporin 12B										
338821	SLCO1B7	solute carrier organic anion transporter family, member 1B7 (non-functional)										
254528	C16orf73	chromosome 16 open reading frame 73										
132612	ADAD1	adenosine deaminase domain containing 1 (testis-specific)										
7258	TSPY1	testis specific protein, Y-linked 1										
26330	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic										
728695	SPANXB1	SPANX family, member B1										
64591	TSPY2	testis specific protein, Y-linked 2										
728137	TSPY3	testis specific protein, Y-linked 3										
5672	PSG4	pregnancy specific beta-1-glycoprotein 4										
254240	BPIFC	BPI fold containing family C										
90070	LACRT	lacritin										
1357	CPA1	carboxypeptidase A1 (pancreatic)										
150280	HORMAD2	HORMA domain containing 2										
4336	MOBP	myelin-associated oligodendrocyte basic protein										
114788	CSMD3	CUB and Sushi multiple domains 3										
759	CA1	carbonic anhydrase I										
94033	FTMT	ferritin mitochondrial										
23040	MYT1L	myelin transcription factor 1-like										
84779	NAA11	N(alpha)-acetyltransferase 11, NatA catalytic subunit										
4014	LOR	loricrin										
64663	SPANXC	SPANX family, member C										
10214	SSX3	synovial sarcoma, X breakpoint 3										
728279	KRTAP2-2	keratin associated protein 2-2										
7365	UGT2B10	UDP glucuronosyltransferase 2 family, polypeptide B10										
85445	CNTNAP4	contactin associated protein-like 4										
59351	PBOV1	prostate and breast cancer overexpressed 1										
245911	DEFB108B	defensin, beta 108B										
400830	DEFB132	defensin, beta 132										
245908	DEFB105A	defensin, beta 105A										
8712	PAGE1	P antigen family, member 1 (prostate associated)										
2543	GAGE1	G antigen 1										
653423	SPAG11A	sperm associated antigen 11A										
285025	CCDC141	coiled-coil domain containing 141										
9705	ST18	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)										
374355	C10orf96	chromosome 10 open reading frame 96										
51270	TFDP3	transcription factor Dp family, member 3										
400735	PRAMEF4	PRAME family member 4										
148545	NBPF4	neuroblastoma breakpoint family, member 4										
408187	SPINK14	serine peptidase inhibitor, Kazal type 14 (putative)										
83445	GSG1	germ cell associated 1										
408263	FNDC9	fibronectin type III domain containing 9										
203076	C8orf74	chromosome 8 open reading frame 74										
90316	TGIF2LX	TGFB-induced factor homeobox 2-like, X-linked										
56136	PCDHA13	protocadherin alpha 13										
438	ASMT	acetylserotonin O-methyltransferase										
91074	ANKRD30A	ankyrin repeat domain 30A										
287015	TRIM42	tripartite motif containing 42										
80125	CCDC33	coiled-coil domain containing 33										
90655	TGIF2LY	TGFB-induced factor homeobox 2-like, Y-linked										
79747	C6orf103	chromosome 6 open reading frame 103										
6758	SSX5	synovial sarcoma, X breakpoint 5										
135656	DPCR1	diffuse panbronchiolitis critical region 1										
154150	HDGFL1	hepatoma derived growth factor-like 1										
387707	CC2D2B	coiled-coil and C2 domain containing 2B										
57093	TRIM49	tripartite motif containing 49										
359787	DPPA3	developmental pluripotency associated 3										
360030	NANOGNB	NANOG neighbor homeobox										
81557	MAGED4B	melanoma antigen family D, 4B										
2577	GAGE5	G antigen 5										
203569	PAGE2	P antigen family, member 2 (prostate associated)										
139135	PASD1	PAS domain containing 1										
64648	SPANXD	SPANX family, member D										
414332	LCN10	lipocalin 10										
343069	HNRNPCL1	heterogeneous nuclear ribonucleoprotein C-like 1										
729857	RGPD2	RANBP2-like and GRIP domain containing 2										
6406	SEMG1	semenogelin I										
10876	EDDM3A	epididymal protein 3A										
3641	INSL4	insulin-like 4 (placenta)										
338323	NLRP14	NLR family, pyrin domain containing 14										
3010	HIST1H1T	histone cluster 1, H1t										
4438	MSH4	mutS homolog 4 (E. coli)										
676	BRDT	bromodomain, testis-specific										
1539	CYLC2	cylicin, basic protein of sperm head cytoskeleton 2										
6847	SYCP1	synaptonemal complex protein 1										
54514	DDX4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4										
400629	TEX19	testis expressed 19										
29947	DNMT3L	DNA (cytosine-5-)-methyltransferase 3-like										
257062	TMEM146	transmembrane protein 146										
113746	ODF3	outer dense fiber of sperm tails 3										
171484	FAM9C	family with sequence similarity 9, member C										
140894	C20orf152	chromosome 20 open reading frame 152										
440822	PIWIL3	piwi-like 3 (Drosophila)										
25858	C11orf20	chromosome 11 open reading frame 20										
219793	C10orf27	chromosome 10 open reading frame 27										
91181	NUP210L	nucleoporin 210kDa-like										
317719	KLHL10	kelch-like 10 (Drosophila)										
204474	PDILT	protein disulfide isomerase-like, testis expressed										
171482	FAM9A	family with sequence similarity 9, member A										
168391	GALNTL5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5										
93661	CAPZA3	capping protein (actin filament) muscle Z-line, alpha 3										
132141	IQCF1	IQ motif containing F1										
5619	PRM1	protamine 1										
81833	SPACA1	sperm acrosome associated 1										
160762	CCDC63	coiled-coil domain containing 63										
171483	FAM9B	family with sequence similarity 9, member B										
1618	DAZL	deleted in azoospermia-like										
728403	TSPY8	testis specific protein, Y-linked 8										
100289087	TSPY10	testis specific protein, Y-linked 10										
27136	MORC1	MORC family CW-type zinc finger 1										
117285	DEFB118	defensin, beta 118										
642636	RAD21L1	RAD21-like 1 (S. pombe)										
91646	TDRD12	tudor domain containing 12										
8468	FKBP6	FK506 binding protein 6, 36kDa										
222659	PXT1	peroxisomal, testis specific 1										
26609	VCX	variable charge, X-linked										
219938	SPATA19	spermatogenesis associated 19										
23742	C15orf2	chromosome 15 open reading frame 2										
81616	ACSBG2	acyl-CoA synthetase bubblegum family member 2										
149685	ADIG	adipogenin										
83893	SPATA16	spermatogenesis associated 16										
1617	DAZ1	deleted in azoospermia 1										
339345	NANOS2	nanos homolog 2 (Drosophila)										
286234	C9orf79	chromosome 9 open reading frame 79										
30014	SPANXA1	sperm protein associated with the nucleus, X-linked, family member A1										
140690	CTCFL	CCCTC-binding factor (zinc finger protein)-like										
135935	NOBOX	NOBOX oogenesis homeobox										
54466	SPIN2A	spindlin family, member 2A										
84690	SPATA22	spermatogenesis associated 22										
4184	SMCP	sperm mitochondria-associated cysteine-rich protein										
8852	AKAP4	A kinase (PRKA) anchor protein 4										
494551	WEE2	WEE1 homolog 2 (S. pombe)										
126206	NLRP5	NLR family, pyrin domain containing 5										
5678	PSG9	pregnancy specific beta-1-glycoprotein 9										
730249	IRG1	immunoresponsive 1 homolog (mouse)										
5671	PSG3	pregnancy specific beta-1-glycoprotein 3										
5670	PSG2	pregnancy specific beta-1-glycoprotein 2										
5669	PSG1	pregnancy specific beta-1-glycoprotein 1										
5673	PSG5	pregnancy specific beta-1-glycoprotein 5										
5680	PSG11	pregnancy specific beta-1-glycoprotein 11										
3906	LALBA	lactalbumin, alpha-										
10879	SMR3B	submaxillary gland androgen regulated protein 3B										
6407	SEMG2	semenogelin II										
2694	GIF	gastric intrinsic factor (vitamin B synthesis)										
1448	CSN3	casein kappa										
197	AHSG	alpha-2-HS-glycoprotein										
1506	CTRL	chymotrypsin-like										
7180	CRISP2	cysteine-rich secretory protein 2										
5407	PNLIPRP1	pancreatic lipase-related protein 1										
2880	GPX5	glutathione peroxidase 5 (epididymal androgen-related protein)										
57119	SPINLW1	serine peptidase inhibitor-like, with Kunitz and WAP domains 1 (eppin)										
277	AMY1B	amylase, alpha 1B (salivary)										
50964	SOST	sclerostin										
344901	OSTN	osteocrin										
84666	RETNLB	resistin like beta										
59067	IL21	interleukin 21										
56287	GKN1	gastrokine 1										
1670	DEFA5	defensin, alpha 5, Paneth cell-specific										
9350	CER1	cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)										
27159	CHIA	chitinase, acidic										
282617	IL28B	interleukin 28B (interferon, lambda 3)										
1668	DEFA3	defensin, alpha 3, neutrophil-specific										
117159	DCD	dermcidin										
279	AMY2A	amylase, alpha 2A (pancreatic)										
728378	POTEF	POTE ankyrin domain family, member F										
653269	POTEI	POTE ankyrin domain family, member I										
653781	POTEJ	POTE ankyrin domain family, member J										
386653	IL31	interleukin 31										
257240	KLHL34	kelch-like 34 (Drosophila)										
7441	VPREB1	pre-B lymphocyte 1										
90167	FRMD7	FERM domain containing 7										
10648	SCGB1D1	secretoglobin, family 1D, member 1										
345651	ACTBL2	actin, beta-like 2										
221044	UCMA	upper zone of growth plate and cartilage matrix associated										
399968	PATE4	prostate and testis expressed 4										
8521	GCM1	glial cells missing homolog 1 (Drosophila)										
80712	ESX1	ESX homeobox 1										
117154	DACH2	dachshund homolog 2 (Drosophila)										
1046	CDX4	caudal type homeobox 4										
56158	TEX12	testis expressed 12										
8433	UTF1	undifferentiated embryonic cell transcription factor 1										
132625	ZFP42	zinc finger protein 42 homolog (mouse)										
283847	CCDC79	coiled-coil domain containing 79										
56956	LHX9	LIM homeobox 9										
283677	C15orf60	chromosome 15 open reading frame 60										
161829	EXD1	exonuclease 3'-5' domain containing 1										
93426	SYCE1	synaptonemal complex central element protein 1										
2998	GYS2	glycogen synthase 2 (liver)										
2038	EPB42	erythrocyte membrane protein band 4.2										
474	ATOH1	atonal homolog 1 (Drosophila)										
219287	FAM123A	family with sequence similarity 123A										
283514	SIAH3	seven in absentia homolog 3 (Drosophila)										
142685	ASB15	ankyrin repeat and SOCS box containing 15										
121599	SPIC	Spi-C transcription factor (Spi-1/PU.1 related)										
57818	G6PC2	glucose-6-phosphatase, catalytic, 2										
122876	GPHB5	glycoprotein hormone beta 5										
10777	ARPP21	cAMP-regulated phosphoprotein, 21kDa										
144809	C13orf30	chromosome 13 open reading frame 30										
389421	LIN28B	lin-28 homolog B (C. elegans)										
284254	C18orf26	chromosome 18 open reading frame 26										
53940	FTHL17	ferritin, heavy polypeptide-like 17										
126755	LRRC38	leucine rich repeat containing 38										
763	CA5A	carbonic anhydrase VA, mitochondrial										
347411	LOC347411	brain protein 44-like protein 2										
440699	LRRC52	leucine rich repeat containing 52										
342125	TMC3	transmembrane channel-like 3										
440279	UNC13C	unc-13 homolog C (C. elegans)										
339	APOBEC1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1										
6694	SPP2	secreted phosphoprotein 2, 24kDa										
11330	CTRC	chymotrypsin C (caldecrin)										
1572	CYP2F1	cytochrome P450, family 2, subfamily F, polypeptide 1										
6476	SI	sucrase-isomaltase (alpha-glucosidase)										
131	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide										
58510	PRODH2	proline dehydrogenase (oxidase) 2										
26952	SMR3A	submaxillary gland androgen regulated protein 3A										
64902	AGXT2	alanine--glyoxylate aminotransferase 2										
342898	SYCN	syncollin										
3283	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1										
391013	PLA2G2C	phospholipase A2, group IIC										
374462	PTPRQ	protein tyrosine phosphatase, receptor type, Q										
248	ALPI	alkaline phosphatase, intestinal										
4951	OCM2	oncomodulin 2										
6014	RIT2	Ras-like without CAAX 2										
266743	NPAS4	neuronal PAS domain protein 4										
2572	GAD2	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)										
23418	CRB1	crumbs homolog 1 (Drosophila)										
29906	ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5										
6718	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)										
4250	SCGB2A2	secretoglobin, family 2A, member 2										
1610	DAO	D-amino-acid oxidase										
3347	HTN3	histatin 3										
4112	MAGEB1	melanoma antigen family B, 1										
4113	MAGEB2	melanoma antigen family B, 2										
1038	CDR1	cerebellar degeneration-related protein 1, 34kDa										
5988	RFPL1	ret finger protein-like 1										
7363	UGT2B4	UDP glucuronosyltransferase 2 family, polypeptide B4										
124	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide										
54657	UGT1A4	UDP glucuronosyltransferase 1 family, polypeptide A4										
3080	CFHR2	complement factor H-related 2										
932	MS4A3	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)										
9623	TCL1B	T-cell leukemia/lymphoma 1B										
257	ALX3	ALX homeobox 3										
245806	VGLL2	vestigial like 2 (Drosophila)										
6473	SHOX	short stature homeobox										
340595	ZCCHC16	zinc finger, CCHC domain containing 16										
4490	MT1B	metallothionein 1B										
340529	PABPC1L2A	poly(A) binding protein, cytoplasmic 1-like 2A										
59336	PRDM13	PR domain containing 13										
221938	MMD2	monocyte to macrophage differentiation-associated 2										
166979	CDC20B	cell division cycle 20 homolog B (S. cerevisiae)										
390790	ARL5C	ADP-ribosylation factor-like 5C										
129684	CNTNAP5	contactin associated protein-like 5										
84970	C1orf94	chromosome 1 open reading frame 94										
50945	TBX22	T-box 22										
56156	TEX13B	testis expressed 13B										
388381	C17orf98	chromosome 17 open reading frame 98										
9752	PCDHA9	protocadherin alpha 9										
340602	CXorf67	chromosome X open reading frame 67										
140767	NRSN1	neurensin 1										
133491	C5orf47	chromosome 5 open reading frame 47										
56884	FSTL5	follistatin-like 5										
341880	SLC35F4	solute carrier family 35, member F4										
23563	CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5										
399947	C11orf87	chromosome 11 open reading frame 87										
255119	C4orf22	chromosome 4 open reading frame 22										
8361	HIST1H4F	histone cluster 1, H4f										
8368	HIST1H4L	histone cluster 1, H4l										
254158	CXorf58	chromosome X open reading frame 58										
54766	BTG4	B-cell translocation gene 4										
8337	HIST2H2AA3	histone cluster 2, H2aa3										
442425	FOXB2	forkhead box B2										
100131244	ANKRD63	ankyrin repeat domain 63										
344191	EVX2	even-skipped homeobox 2										
138046	RALYL	RALY RNA binding protein-like										
7278	TUBA3C	tubulin, alpha 3c										
353132	LCE1B	late cornified envelope 1B										
26239	LCE2B	late cornified envelope 2B										
353143	LCE3B	late cornified envelope 3B										
353135	LCE1E	late cornified envelope 1E										
353145	LCE3E	late cornified envelope 3E										
84648	LCE3D	late cornified envelope 3D										
353140	LCE2C	late cornified envelope 2C										
353142	LCE3A	late cornified envelope 3A										
353141	LCE2D	late cornified envelope 2D										
353139	LCE2A	late cornified envelope 2A										
149018	LELP1	late cornified envelope-like proline-rich 1										
140032	RPS4Y2	ribosomal protein S4, Y-linked 2										
644672	CLDN25	claudin 25										
100132463	CLDN24	claudin 24										
100288814	LOC100288814	uncharacterized protein LOC100288814										
644524	NKX2-4	NK2 homeobox 4										
391723	HELT	helt bHLH transcription factor										
83259	PCDH11Y	protocadherin 11 Y-linked										
440097	DBX2	developing brain homeobox 2										
158931	TCEAL6	transcription elongation factor A (SII)-like 6										
326340	ZAR1	zygote arrest 1										
114786	XKR4	XK, Kell blood group complex subunit-related family, member 4										
343702	XKR7	XK, Kell blood group complex subunit-related family, member 7										
389690	FLJ43860	FLJ43860 protein										
1769	DNAH8	dynein, axonemal, heavy chain 8										
201625	DNAH12	dynein, axonemal, heavy chain 12										
64446	DNAI2	dynein, axonemal, intermediate chain 2										
441234	ZNF716	zinc finger protein 716										
55211	DPPA4	developmental pluripotency associated 4										
58158	NEUROD4	neurogenic differentiation 4										
84665	MYPN	myopalladin										
344658	SAMD7	sterile alpha motif domain containing 7										
57379	AICDA	activation-induced cytidine deaminase										
90199	WFDC8	WAP four-disulfide core domain 8										
126859	AXDND1	axonemal dynein light chain domain containing 1										
10842	PPP1R17	protein phosphatase 1, regulatory subunit 17										
389177	TMEM212	transmembrane protein 212										
253017	TECRL	trans-2,3-enoyl-CoA reductase-like										
84654	SPZ1	spermatogenic leucine zipper 1										
100127206	KIAA1024L	KIAA1024-like										
83417	FCRL4	Fc receptor-like 4										
10665	C6orf10	chromosome 6 open reading frame 10										
30816	ERVW-1	endogenous retrovirus group W, member 1										
51327	AHSP	alpha hemoglobin stabilizing protein										
152816	C4orf26	chromosome 4 open reading frame 26										
339512	C1orf110	chromosome 1 open reading frame 110										
55237	VRTN	vertebrae development homolog (pig)										
79923	NANOG	Nanog homeobox										
4617	MYF5	myogenic factor 5										
201516	ZSCAN4	zinc finger and SCAN domain containing 4										
283150	FOXR1	forkhead box R1										
139628	FOXR2	forkhead box R2										
440695	ETV3L	ets variant 3-like										
647589	LOC647589	uncharacterized LOC647589										
84891	ZSCAN10	zinc finger and SCAN domain containing 10										
126123	IZUMO2	IZUMO family member 2										
503834	DPRX	divergent-paired related homeobox										
168417	ZNF679	zinc finger protein 679										
90827	ZNF479	zinc finger protein 479										
730291	ZNF735	zinc finger protein 735										
84528	RHOXF2	Rhox homeobox family, member 2										
503582	ARGFX	arginine-fifty homeobox										
727940	RHOXF2B	Rhox homeobox family, member 2B										
81492	RSPH6A	radial spoke head 6 homolog A (Chlamydomonas)										
1016	CDH18	cadherin 18, type 2										
4109	MAGEA10	melanoma antigen family A, 10										
146862	UNC45B	unc-45 homolog B (C. elegans)										
342618	SLFN14	schlafen family member 14										
100505591	LRRC3C	leucine rich repeat containing 3C										
1041	CDSN	corneodesmosin										
9708	PCDHGA8	protocadherin gamma subfamily A, 8										
6756	SSX1	synovial sarcoma, X breakpoint 1										
344022	NOTO	notochord homeobox										
1010	CDH12	cadherin 12, type 2 (N-cadherin 2)										
391253	SPINT4	serine peptidase inhibitor, Kunitz type 4										
8328	GFI1B	growth factor independent 1B transcription repressor										
399949	C11orf88	chromosome 11 open reading frame 88										
81551	STMN4	stathmin-like 4										
57624	KIAA1486	KIAA1486										
127795	C1orf87	chromosome 1 open reading frame 87										
121340	SP7	Sp7 transcription factor										
284366	KLK9	kallikrein-related peptidase 9										
56344	CABP5	calcium binding protein 5										
25834	MGAT4C	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)										
140456	ASB11	ankyrin repeat and SOCS box containing 11										
339976	TRIML1	tripartite motif family-like 1										
148930	KNCN	kinocilin										
283999	TMEM235	transmembrane protein 235										
448835	LCE6A	late cornified envelope 6A										
3346	HTN1	histatin 1										
343930	MSGN1	mesogenin 1										
129446	XIRP2	xin actin-binding repeat containing 2										
151871	DPPA2	developmental pluripotency associated 2										
158835	AWAT2	acyl-CoA wax alcohol acyltransferase 2										
1557	CYP2C19	cytochrome P450, family 2, subfamily C, polypeptide 19										
54576	UGT1A8	UDP glucuronosyltransferase 1 family, polypeptide A8										
54600	UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A9										
54659	UGT1A3	UDP glucuronosyltransferase 1 family, polypeptide A3										
54490	UGT2B28	UDP glucuronosyltransferase 2 family, polypeptide B28										
54579	UGT1A5	UDP glucuronosyltransferase 1 family, polypeptide A5										
54575	UGT1A10	UDP glucuronosyltransferase 1 family, polypeptide A10										
64816	CYP3A43	cytochrome P450, family 3, subfamily A, polypeptide 43										
284541	CYP4A22	cytochrome P450, family 4, subfamily A, polypeptide 22										
285668	C5orf64	chromosome 5 open reading frame 64										
161514	TBC1D21	TBC1 domain family, member 21										
51725	FBXO40	F-box protein 40										
10485	C1orf61	chromosome 1 open reading frame 61										
84691	FAM71F1	family with sequence similarity 71, member F1										
338322	NLRP10	NLR family, pyrin domain containing 10										
245932	DEFB119	defensin, beta 119										
245930	DEFB116	defensin, beta 116										
140850	DEFB127	defensin, beta 127										
245936	DEFB123	defensin, beta 123										
245929	DEFB115	defensin, beta 115										
644414	DEFB131	defensin, beta 131										
439996	IFIT1B	interferon-induced protein with tetratricopeptide repeats 1B										
59082	CARD18	caspase recruitment domain family, member 18										
147945	NLRP4	NLR family, pyrin domain containing 4										
345611	IRGM	immunity-related GTPase family, M										
81494	CFHR5	complement factor H-related 5										
359710	BPIFB3	BPI fold containing family B, member 3										
152138	PYDC2	pyrin domain containing 2										
441925	BECN1P1	beclin 1, autophagy related, pseudogene 1										
4056	LTC4S	leukotriene C4 synthase										
388419	BTBD17	BTB (POZ) domain containing 17										
4107	MAGEA8	melanoma antigen family A, 8										
643418	LIPN	lipase, family member N										
643414	LIPK	lipase, family member K										
123876	ACSM2A	acyl-CoA synthetase medium-chain family member 2A										
387715	ARMS2	age-related maculopathy susceptibility 2										
115861	NXNL1	nucleoredoxin-like 1										
64184	EDDM3B	epididymal protein 3B										
344805	TMPRSS7	transmembrane protease, serine 7										
170627	XAGE5	X antigen family, member 5										
4115	MAGEB4	melanoma antigen family B, 4										
256646	C15orf55	chromosome 15 open reading frame 55										
4114	MAGEB3	melanoma antigen family B, 3										
161357	MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2										
57495	KIAA1239	KIAA1239										
285126	DNAJC5G	DnaJ (Hsp40) homolog, subfamily C, member 5 gamma										
8513	LIPF	lipase, gastric										
83894	TTC29	tetratricopeptide repeat domain 29										
401081	FLJ22763	uncharacterized LOC401081										
387718	C10orf122	chromosome 10 open reading frame 122										
342933	ZSCAN5B	zinc finger and SCAN domain containing 5B										
54363	HAO1	hydroxyacid oxidase (glycolate oxidase) 1										
56246	MRAP	melanocortin 2 receptor accessory protein										
391004	PRAMEF17	PRAME family member 17										
391002	PRAMEF8	PRAME family member 8										
343070	PRAMEF9	PRAME family member 9										
645414	PRAMEF19	PRAME family member 19										
653619	PRAMEF15	PRAME family member 15										
223075	CCDC129	coiled-coil domain containing 129										
51480	VCX2	variable charge, X-linked 2										
51481	VCX3A	variable charge, X-linked 3A										
425054	VCX3B	variable charge, X-linked 3B										
161142	FAM71D	family with sequence similarity 71, member D										
284369	C19orf75	chromosome 19 open reading frame 75										
147664	ERVV-1	endogenous retrovirus group V, member 1										
140902	R3HDML	R3H domain containing-like										
164237	WFDC13	WAP four-disulfide core domain 13										
643394	SPINK9	serine peptidase inhibitor, Kazal type 9										
64600	PLA2G2F	phospholipase A2, group IIF										
100506564	LOC100506564	uncharacterized LOC100506564										
168433	RNF133	ring finger protein 133										
644139	PIRT	phosphoinositide-interacting regulator of transient receptor potential channels										
201140	DHRS7C	dehydrogenase/reductase (SDR family) member 7C										
100507027	M1	uncharacterized LOC100507027										
220032	GDPD4	glycerophosphodiester phosphodiesterase domain containing 4										
285525	YIPF7	Yip1 domain family, member 7										
1007	CDH9	cadherin 9, type 2 (T1-cadherin)										
389206	BEND4	BEN domain containing 4										
136263	C7orf45	chromosome 7 open reading frame 45										
51146	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase										
80309	SPHKAP	SPHK1 interactor, AKAP domain containing										
83889	WDR87	WD repeat domain 87										
25763	CXorf27	chromosome X open reading frame 27										
338661	TMEM225	transmembrane protein 225										
120400	FAM55A	family with sequence similarity 55, member A										
54827	FAM55D	family with sequence similarity 55, member D										
5435	POLR2F	polymerase (RNA) II (DNA directed) polypeptide F										
728588	MS4A18	membrane-spanning 4-domains, subfamily A, member 18										
120406	FAM55B	family with sequence similarity 55, member B										
133688	UGT3A1	UDP glycosyltransferase 3 family, polypeptide A1										
3284	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2										
202134	FAM153B	family with sequence similarity 153, member B										
150379	PNPLA5	patatin-like phospholipase domain containing 5										
134526	ACOT12	acyl-CoA thioesterase 12										
142827	C10orf129	chromosome 10 open reading frame 129										
119548	PNLIPRP3	pancreatic lipase-related protein 3										
142910	LIPJ	lipase, family member J										
80831	APOL5	apolipoprotein L, 5										
341392	ACSM4	acyl-CoA synthetase medium-chain family member 4										
158833	AWAT1	acyl-CoA wax alcohol acyltransferase 1										
347516	DGAT2L6	diacylglycerol O-acyltransferase 2-like 6										
492307	C8orf22	chromosome 8 open reading frame 22										
1068	CETN1	centrin, EF-hand protein, 1										
124404	SEPT12	septin 12										
84700	MYO18B	myosin XVIIIB										
284257	BOD1P	biorientation of chromosomes in cell division 1 pseudogene										
117286	CIB3	calcium and integrin binding family member 3										
642597	C18orf42	chromosome 18 open reading frame 42										
160287	LDHAL6A	lactate dehydrogenase A-like 6A										
389161	ANKUB1	ankyrin repeat and ubiquitin domain containing 1										
283461	C12orf40	chromosome 12 open reading frame 40										
116093	DIRC1	disrupted in renal carcinoma 1										
145497	C14orf166B	chromosome 14 open reading frame 166B										
374470	C12orf42	chromosome 12 open reading frame 42										
389124	IQCF5	IQ motif containing F5										
158521	FMR1NB	fragile X mental retardation 1 neighbor										
139212	CXorf41	chromosome X open reading frame 41										
57408	LRTM1	leucine-rich repeats and transmembrane domains 1										
474382	H2AFB1	H2A histone family, member B1										
100132916	FAM159B	family with sequence similarity 159, member B										
54860	MS4A12	membrane-spanning 4-domains, subfamily A, member 12										
147658	ZNF534	zinc finger protein 534										
158809	MAGEB6	melanoma antigen family B, 6										
166863	RBM46	RNA binding motif protein 46										
122046	C13orf26	chromosome 13 open reading frame 26										
122706	PSMB11	proteasome (prosome, macropain) subunit, beta type, 11										
390594	KBTBD13	kelch repeat and BTB (POZ) domain containing 13										
339291	LRRC30	leucine rich repeat containing 30										
4103	MAGEA4	melanoma antigen family A, 4										
9947	MAGEC1	melanoma antigen family C, 1										
64881	PCDH20	protocadherin 20										
374955	SPATA21	spermatogenesis associated 21										
1823	DSC1	desmocollin 1										
388795	EFCAB8	EF-hand calcium binding domain 8										
285588	EFCAB9	EF-hand calcium binding domain 9										
5342	PLGLB2	plasminogen-like B2										
353299	RGSL1	regulator of G-protein signaling like 1										
282808	RAB40AL	RAB40A, member RAS oncogene family-like										
389073	C2orf80	chromosome 2 open reading frame 80										
123722	FSD2	fibronectin type III and SPRY domain containing 2										
389649	C8orf86	chromosome 8 open reading frame 86										
414899	BLID	BH3-like motif containing, cell death inducer										
54763	ROPN1	rhophilin associated tail protein 1										
7179	TPTE	transmembrane phosphatase with tensin homology										
64232	MS4A5	membrane-spanning 4-domains, subfamily A, member 5										
131669	UROC1	urocanase domain containing 1										
4110	MAGEA11	melanoma antigen family A, 11										
54967	CXorf48	chromosome X open reading frame 48										
149699	GTSF1L	gametocyte specific factor 1-like										
644054	FAM25C	family with sequence similarity 25, member C										
132203	SNTN	sentan, cilia apical structure protein										
100653515	LOC100653515	differential display clone 8										
146395	GSG1L	GSG1-like										
150921	TCF23	transcription factor 23										
221409	SPATS1	spermatogenesis associated, serine-rich 1										
360226	PRSS41	protease, serine, 41										
147741	ZNF560	zinc finger protein 560										
152065	C3orf22	chromosome 3 open reading frame 22										
100289462	DEFB4B	defensin, beta 4B										
137735	ABRA	actin-binding Rho activating protein										
403314	APOBEC4	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative)										
139562	OTUD6A	OTU domain containing 6A										
448834	KPRP	keratinocyte proline-rich protein										
390110	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like										
285556	LOC285556	uncharacterized LOC285556										
646960	PRSS56	protease, serine, 56										
10249	GLYAT	glycine-N-acyltransferase										
4100	MAGEA1	melanoma antigen family A, 1 (directs expression of antigen MZ2-E)										
652991	SKOR2	SKI family transcriptional corepressor 2										
79853	TM4SF20	transmembrane 4 L six family member 20										
414301	DDI1	DNA-damage inducible 1 homolog 1 (S. cerevisiae)										
132954	PDCL2	phosducin-like 2										
441061	MARCH11	membrane-associated ring finger (C3HC4) 11										
404785	POTEG	POTE ankyrin domain family, member G										
165100	C2orf57	chromosome 2 open reading frame 57										
100505478	LOC100505478	uncharacterized protein LOC100505478										
55511	SAGE1	sarcoma antigen 1										
92552	ATXN3L	ataxin 3-like										
339501	PRSS38	protease, serine, 38										
345062	PRSS48	protease, serine, 48										
341350	OVCH1	ovochymase 1										
389320	C5orf48	chromosome 5 open reading frame 48										
219578	ZNF804B	zinc finger protein 804B										
286753	TUSC5	tumor suppressor candidate 5										
283579	C14orf178	chromosome 14 open reading frame 178										
4111	MAGEA12	melanoma antigen family A, 12										
387638	C10orf113	chromosome 10 open reading frame 113										
